N_ch N_D N_Ds N_K
24 0 0 2
23 0 0 3
28 0 0 3
37 0 0 3
35 0 0 5
37 0 0 6
22 0 0 2
19 0 0 0
23 0 0 3
24 0 0 4
26 0 0 2
22 0 0 3
15 0 0 0
23 0 0 0
25 0 0 2
21 0 0 0
15 0 0 2
19 0 0 6
15 0 0 5
34 0 0 1
27 0 0 1
27 0 0 3
28 0 0 0
44 0 0 2
33 0 0 1
22 0 0 2
24 0 0 1
20 0 0 0
23 0 0 0
25 0 0 2
40 0 0 6
12 0 0 2
31 0 0 5
31 0 0 0
19 0 0 3
28 0 0 4
39 0 0 3
21 0 0 0
26 0 0 4
31 0 0 3
21 0 0 0
27 0 0 4
25 0 0 0
28 0 0 4
23 0 0 5
21 0 0 2
28 0 0 0
19 0 0 0
16 1 0 3
27 0 0 3
34 0 0 3
35 0 0 1
39 0 0 3
14 0 0 1
25 0 0 2
24 0 0 0
30 0 0 4
28 0 0 0
14 0 0 2
26 0 0 1
22 0 0 3
14 1 0 3
39 0 0 1
29 0 0 2
28 0 0 2
20 0 0 0
24 0 0 7
23 0 0 1
32 0 0 1
31 0 0 5
27 0 0 3
26 0 0 3
32 0 0 2
23 0 0 6
29 0 0 0
16 0 0 1
25 0 0 3
17 0 0 0
13 0 0 1
31 0 0 3
28 0 0 3
22 0 0 3
22 0 0 0
20 0 0 0
15 0 0 2
23 0 0 0
32 0 0 6
25 0 0 3
18 0 0 3
12 2 0 0
17 0 0 0
22 0 0 2
34 0 0 2
21 0 0 3
21 0 0 0
24 0 0 5
31 0 0 2
19 0 0 2
19 0 0 1
18 0 0 0
24 0 0 2
26 0 0 1
37 0 0 3
19 0 0 1
34 0 0 2
36 0 0 0
20 0 0 2
21 0 0 2
17 0 0 3
20 0 0 1
27 0 0 2
24 0 0 0
24 0 0 2
26 0 0 2
19 0 0 0
38 0 0 2
25 0 0 3
18 0 0 2
23 0 0 0
44 0 0 5
20 0 0 4
50 0 0 3
16 0 0 1
15 0 0 1
26 0 0 1
27 0 0 3
30 0 0 2
34 0 0 2
25 0 0 2
26 0 0 2
25 0 0 0
38 0 0 2
29 0 0 4
25 0 0 1
42 0 0 2
25 0 0 1
30 0 0 6
15 0 0 3
29 0 0 2
24 0 0 1
18 0 0 1
24 0 0 1
23 0 0 2
34 0 0 4
20 0 0 1
33 0 0 3
36 0 0 3
23 0 0 1
18 0 0 2
22 0 0 2
30 0 0 1
26 0 0 6
20 0 0 8
25 0 0 0
26 0 0 3
25 0 0 1
25 0 0 3
37 0 0 3
19 0 0 1
20 0 0 4
27 0 0 1
22 0 0 0
22 0 0 2
21 0 0 3
30 0 0 6
25 0 0 2
24 0 0 2
32 0 0 5
22 0 0 6
42 0 0 3
10 0 0 2
17 0 0 0
27 0 0 1
34 0 0 0
44 0 0 1
18 0 0 0
32 1 0 3
29 0 0 4
29 0 0 2
30 0 0 4
22 0 0 2
24 0 0 1
38 0 0 4
28 0 0 4
27 0 0 4
35 0 0 5
21 0 0 3
30 1 0 4
36 0 0 0
33 0 0 1
11 0 0 0
20 0 0 1
20 0 0 1
31 0 0 2
31 0 0 3
21 0 0 0
35 0 0 4
28 0 0 3
19 0 0 2
33 0 0 5
28 0 0 3
41 0 0 4
11 0 0 1
21 0 0 1
25 0 0 1
37 0 0 8
22 0 0 2
27 0 0 2
31 0 0 6
24 0 0 2
36 0 0 2
20 0 0 1
43 0 0 3
30 0 0 4
47 0 0 4
22 0 0 1
32 0 0 2
32 0 0 1
25 0 0 5
19 0 0 4
25 0 0 3
12 0 0 0
29 0 0 5
9 0 0 0
26 0 0 2
34 0 0 4
20 0 0 0
26 0 0 4
17 0 0 2
15 0 0 2
27 0 0 4
24 0 0 4
26 0 0 4
27 0 0 2
26 0 0 2
24 0 0 0
23 0 0 3
20 0 0 0
18 0 0 1
24 0 0 3
20 0 0 5
26 0 0 5
32 0 0 1
21 0 0 1
14 0 0 2
14 0 0 5
35 0 0 1
26 0 0 0
23 0 0 3
17 0 0 4
21 0 0 0
38 0 0 1
18 0 0 1
25 0 0 3
36 0 0 2
20 0 0 0
20 0 0 1
24 0 0 3
31 0 0 3
23 0 0 2
18 0 0 1
29 0 0 2
34 0 0 5
23 0 0 1
27 0 0 3
15 0 0 1
20 0 0 1
17 0 0 2
33 0 0 4
20 0 0 3
25 0 0 2
21 0 0 1
27 0 0 0
39 0 0 2
30 0 0 3
19 0 0 1
33 0 0 9
34 0 0 3
35 0 0 4
17 0 0 1
18 0 0 1
21 0 0 1
30 0 0 1
16 0 0 2
19 0 0 4
24 0 0 1
22 0 0 0
25 0 0 1
20 0 1 2
33 0 0 5
20 0 0 2
27 0 0 3
29 0 0 2
19 0 0 1
21 0 0 2
19 0 0 0
14 0 0 2
15 0 0 0
18 0 0 1
32 0 0 2
21 0 0 2
32 0 0 5
18 0 0 2
18 0 0 0
28 0 0 2
14 0 0 1
23 0 0 2
38 0 0 4
28 0 0 3
21 0 0 2
32 0 0 4
22 0 0 0
28 0 0 3
45 0 0 4
17 0 0 1
10 0 0 1
31 0 0 3
19 0 0 2
25 0 0 2
32 0 0 2
46 0 0 3
28 0 0 3
13 0 0 2
23 0 0 3
31 0 0 3
18 0 0 2
14 0 0 1
32 0 0 3
33 0 0 2
23 0 0 1
23 0 0 3
27 0 0 4
18 0 0 4
20 0 0 1
13 0 0 3
20 2 0 3
22 0 0 2
30 0 0 2
15 0 0 0
22 0 0 3
34 0 0 5
22 0 0 1
10 0 0 1
20 0 0 0
36 0 0 2
23 0 0 0
23 0 0 3
22 0 0 2
6 0 0 1
25 0 0 6
9 0 0 0
20 0 0 0
25 0 0 2
20 0 0 4
19 0 0 6
25 0 0 6
26 0 0 1
17 0 0 1
25 0 0 3
25 0 0 0
14 0 0 0
21 0 0 1
31 0 0 1
34 0 0 4
22 0 0 2
13 0 0 0
22 0 0 4
53 0 0 3
18 0 0 2
30 0 0 2
38 0 0 4
17 0 0 1
11 0 0 0
27 0 0 1
31 0 0 7
36 0 0 2
27 0 0 4
34 0 0 9
23 0 0 2
19 0 0 2
33 0 0 2
22 0 0 7
26 0 0 2
34 0 0 0
54 0 0 2
25 0 0 1
38 0 0 6
18 0 0 1
18 0 0 3
14 0 0 1
26 0 0 0
30 0 0 3
20 0 0 1
31 0 0 1
36 0 0 5
22 0 0 3
22 0 0 1
14 0 0 2
33 0 0 3
27 0 0 1
24 0 0 0
25 0 0 2
40 0 0 3
30 0 0 0
24 0 0 2
27 0 0 2
27 0 0 2
23 0 0 5
40 0 0 3
30 0 0 3
25 0 0 0
24 0 0 1
19 0 0 1
35 0 0 4
31 0 0 2
45 0 0 1
28 0 0 3
20 0 0 4
22 0 0 3
19 0 0 1
31 0 0 1
25 0 0 1
25 0 0 5
31 0 0 2
27 0 0 2
24 0 0 3
24 0 0 0
21 0 0 0
23 0 0 5
18 0 0 5
20 0 0 3
17 0 0 0
13 0 0 1
13 0 0 1
19 0 0 2
18 0 0 0
31 0 0 0
25 0 0 2
27 0 0 2
39 0 0 7
32 0 0 4
27 0 0 6
34 0 0 1
17 0 0 2
25 0 0 0
27 0 0 2
21 0 0 2
28 0 0 2
24 0 0 5
19 0 0 1
53 0 0 5
28 0 0 3
15 0 0 2
23 0 0 1
31 0 0 1
30 0 0 4
28 0 0 2
34 0 0 2
21 0 0 0
17 0 0 1
20 0 0 1
20 0 0 2
26 0 0 4
29 0 0 8
49 0 0 6
27 0 0 2
28 0 0 3
19 0 0 2
16 0 0 0
26 0 0 3
36 2 0 2
30 0 0 3
38 0 0 3
21 0 0 2
16 0 0 5
27 0 0 0
28 0 0 1
47 0 0 2
25 0 0 1
39 0 0 1
35 0 0 3
33 0 0 1
27 0 0 3
29 0 0 3
25 0 0 2
12 0 0 1
23 0 0 1
26 0 0 0
24 0 0 6
36 0 0 3
18 0 0 0
25 0 0 4
29 0 0 1
28 0 0 5
15 0 0 1
25 0 0 0
13 0 0 1
32 2 0 3
24 0 0 5
27 0 0 2
21 0 0 1
18 0 0 1
21 0 0 2
24 0 0 2
24 0 0 0
35 0 0 1
10 0 0 1
32 0 0 4
17 0 0 0
29 0 0 0
42 0 0 3
26 0 0 6
24 0 0 0
31 0 0 2
31 0 0 5
21 0 0 0
22 0 0 1
22 0 0 1
37 0 0 3
22 0 0 2
41 0 0 5
36 0 0 2
13 0 0 0
26 0 0 2
30 0 0 2
15 0 0 1
25 1 0 3
28 0 0 2
38 0 0 3
41 0 0 3
29 0 0 1
13 0 0 0
18 0 0 4
19 0 0 5
21 0 0 1
19 0 0 2
43 0 0 2
42 0 0 2
15 0 0 2
25 0 0 4
31 0 0 4
19 0 0 3
25 0 0 2
18 0 0 2
20 0 0 0
28 0 0 5
21 0 0 3
21 0 0 2
22 0 0 0
32 0 0 1
19 0 0 0
31 0 0 2
25 0 0 1
15 0 0 3
26 0 0 2
30 0 0 3
37 0 0 2
35 0 0 4
25 0 0 3
37 0 0 6
30 0 0 2
27 0 0 6
37 0 0 2
38 0 0 3
22 0 0 5
9 0 0 0
16 0 0 1
28 0 0 5
32 0 0 5
31 0 0 1
20 0 0 0
24 0 0 3
22 0 0 0
11 0 0 0
20 0 0 1
25 0 0 1
21 0 0 2
28 0 0 7
24 0 0 9
27 0 0 5
33 0 0 0
27 0 0 0
26 0 0 0
23 0 0 0
26 0 0 4
18 0 0 1
17 0 0 2
22 0 0 0
20 0 0 2
16 0 0 2
33 0 0 4
18 0 0 2
43 0 1 4
27 0 0 2
26 0 0 5
15 0 0 1
31 0 0 3
37 0 0 2
19 0 0 4
13 0 0 0
21 0 0 0
27 0 0 3
23 0 0 1
23 0 0 0
31 0 0 2
22 0 0 0
36 0 0 4
11 0 0 2
16 0 0 3
20 0 0 2
26 0 0 1
32 0 0 2
34 0 0 1
26 0 0 2
26 0 0 2
45 0 0 3
29 0 0 1
26 0 0 2
27 0 0 1
32 0 0 2
15 0 0 1
24 1 0 1
22 0 0 1
21 0 0 0
25 0 0 0
29 0 0 3
38 0 0 2
41 0 0 4
24 0 0 0
27 0 0 1
36 0 0 2
24 0 0 1
28 0 0 0
8 0 0 0
18 0 0 3
27 0 0 7
28 0 0 3
31 0 0 1
21 0 0 4
22 0 0 0
29 0 0 3
21 0 0 2
25 0 0 5
27 0 0 0
29 0 0 2
28 0 0 0
22 0 0 2
21 0 0 3
18 0 0 1
25 0 0 7
35 0 0 2
27 0 0 4
38 0 0 7
22 0 0 0
33 0 0 5
24 0 0 2
33 0 0 4
12 0 0 2
31 0 0 5
13 0 0 0
14 0 0 0
18 0 0 2
20 0 0 1
21 0 0 0
29 0 0 6
35 0 0 6
26 0 0 0
20 0 0 2
23 0 0 2
13 0 0 0
16 0 0 0
21 0 0 0
23 0 0 4
31 0 0 2
32 0 0 3
33 0 0 1
29 0 0 0
20 0 0 2
34 0 0 2
26 0 0 2
36 0 0 3
46 0 0 5
35 0 0 4
19 0 0 5
26 0 0 1
14 0 0 2
15 0 0 0
41 0 0 2
15 0 0 2
26 0 0 2
22 0 0 2
34 0 0 0
20 0 0 2
31 0 0 1
37 0 0 7
21 0 0 1
28 0 0 4
25 0 0 3
25 0 0 4
26 0 0 3
28 0 0 6
15 0 0 3
40 0 0 1
13 0 0 4
17 0 0 1
29 0 0 2
31 0 0 2
47 0 0 3
14 0 0 1
35 0 0 4
25 0 0 2
19 0 0 1
15 0 0 2
26 0 0 2
25 0 0 3
24 0 0 1
28 0 0 2
45 0 0 6
36 0 0 5
34 0 0 4
18 0 0 1
16 0 0 0
23 0 0 0
12 0 0 3
29 0 0 0
24 0 0 0
27 0 0 2
24 0 0 3
18 0 0 0
22 0 0 1
22 0 0 5
31 0 0 2
23 0 0 1
24 0 0 1
17 0 0 2
7 0 0 1
27 0 0 6
33 0 0 0
16 0 0 0
18 0 0 3
10 0 0 0
17 0 0 1
41 0 0 1
28 0 0 2
14 0 0 2
37 0 0 2
18 0 0 3
23 0 0 1
30 0 0 1
32 0 0 2
20 0 0 1
26 0 0 1
15 0 0 2
48 0 0 5
27 0 0 2
19 0 0 1
24 0 0 4
36 0 0 1
17 0 0 0
27 0 0 3
30 0 0 2
20 0 0 0
18 0 0 2
29 1 1 2
34 0 0 1
19 0 0 5
17 0 0 3
24 0 0 0
20 0 0 2
35 0 0 3
35 0 0 3
41 0 0 0
12 0 0 1
16 1 1 3
27 0 0 0
39 0 0 4
29 0 0 2
25 0 0 2
15 0 0 4
21 0 0 0
25 0 0 0
36 0 0 3
36 0 0 3
30 0 0 2
25 0 0 3
43 0 0 1
15 0 0 3
23 0 0 2
23 0 0 0
23 0 0 0
16 0 0 4
18 0 0 2
13 0 0 0
29 0 0 1
23 0 0 4
32 0 0 9
18 0 0 0
19 0 0 3
24 0 0 0
26 0 0 1
29 0 0 1
18 0 0 2
24 0 0 1
25 0 0 1
17 0 0 1
31 0 0 2
26 0 0 1
29 0 0 2
17 0 0 2
26 0 0 4
17 0 0 0
23 0 0 1
24 0 0 6
19 0 0 1
27 0 0 0
22 0 0 4
22 0 0 1
34 0 0 3
23 0 0 1
13 0 0 0
21 0 0 0
16 0 0 0
41 0 0 5
27 0 0 5
40 0 0 3
26 0 0 0
16 0 0 1
26 0 0 2
30 0 0 2
30 0 0 5
19 0 0 1
20 0 0 0
28 0 0 3
22 0 0 3
15 0 0 0
23 0 0 2
44 0 0 10
22 0 0 3
27 0 0 3
18 0 0 1
27 0 0 4
20 0 0 4
23 0 0 2
22 0 0 0
22 0 0 2
23 0 0 2
54 0 0 2
30 0 0 2
33 0 0 5
22 0 0 0
29 0 0 3
23 0 0 3
27 1 0 3
53 0 0 5
22 0 0 2
12 0 0 0
36 0 0 0
20 1 0 3
19 0 0 1
43 2 0 5
30 0 0 3
17 0 0 2
20 0 0 3
29 0 0 1
32 0 0 6
15 0 0 1
32 0 0 1
16 0 0 0
28 0 0 1
18 0 0 0
22 0 0 1
22 0 0 1
24 0 0 4
22 0 0 1
33 0 0 1
34 0 0 2
23 0 0 4
46 0 0 4
23 0 0 2
27 0 0 2
29 0 0 4
22 0 0 0
20 0 0 1
26 0 0 4
29 0 0 1
38 0 0 1
25 0 0 3
24 0 0 3
24 0 0 2
29 0 0 1
25 0 0 0
16 0 0 3
12 0 0 2
19 2 0 0
21 0 0 0
17 0 0 0
32 0 0 0
24 0 0 2
32 0 0 4
25 0 0 2
17 0 0 4
27 0 0 3
24 0 0 0
29 0 0 4
19 0 0 2
20 0 0 0
26 0 0 3
25 0 0 3
25 0 0 2
22 0 0 1
37 0 0 4
21 0 0 2
26 0 0 3
28 0 0 4
28 0 0 3
25 0 0 2
31 0 0 1
28 1 1 3
19 0 0 3
18 0 0 2
29 0 0 0
19 0 0 1
24 0 0 1
14 0 0 1
23 0 0 2
22 0 0 4
14 0 0 0
39 0 0 2
29 0 0 1
33 0 0 1
19 0 0 0
36 0 0 5
31 0 0 6
19 0 0 2
12 0 0 0
37 0 0 6
31 0 0 2
22 0 0 2
21 0 0 2
26 0 0 1
19 0 0 3
12 0 0 1
28 0 0 3
21 0 0 5
35 0 0 3
22 0 0 1
22 0 0 1
31 0 0 3
29 0 0 5
22 0 0 0
26 0 0 3
31 0 0 3
27 0 0 2
22 0 0 2
36 0 0 1
38 0 0 0
49 0 0 3
22 0 0 2
11 0 0 2
29 0 0 2
11 0 0 0
14 0 0 3
21 0 0 1
18 0 0 1
42 0 0 3
21 0 0 0
24 0 0 0
14 0 0 4
26 0 0 0
11 0 0 1
25 0 0 3
15 0 0 0
20 0 0 0
30 0 0 3
14 0 0 0
28 0 0 6
22 0 0 1
19 0 0 0
33 1 0 4
18 0 0 0
14 0 0 1
24 0 0 2
19 0 0 3
26 0 0 0
25 0 0 4
19 1 0 4
14 0 0 0
17 0 0 2
25 0 0 1
30 0 0 4
32 0 0 9
21 0 0 5
30 0 0 1
20 0 0 1
20 0 0 0
27 0 0 3
25 0 0 4
22 0 0 1
30 0 0 2
40 0 0 2
19 0 0 1
29 0 0 3
21 0 0 2
13 0 0 2
16 0 0 2
22 0 0 2
20 0 0 0
39 0 1 5
18 0 0 3
25 0 0 2
22 0 0 0
29 0 0 4
31 0 0 3
31 0 0 4
29 0 0 6
23 0 0 3
19 0 0 1
23 0 0 4
18 0 0 0
25 0 0 2
18 0 0 0
15 0 0 0
29 0 0 4
20 0 0 1
22 0 0 1
31 0 0 3
24 0 0 3
29 0 0 3
33 0 0 3
15 0 0 1
41 0 0 6
34 0 0 2
25 0 0 2
16 0 0 4
34 1 0 1
38 0 0 6
36 0 0 2
34 0 0 3
33 0 0 1
29 2 0 3
19 0 0 1
27 0 0 0
32 0 0 4
8 0 0 2
27 0 0 3
20 0 0 3
19 0 0 0
17 0 0 0
28 0 0 0
28 0 0 4
27 0 0 4
22 0 0 2
17 0 0 4
22 0 0 3
24 0 0 5
21 0 0 1
16 0 0 2
21 1 1 3
11 0 0 2
27 0 0 1
40 0 0 3
46 1 0 5
22 0 0 1
27 0 0 0
30 0 0 3
39 0 0 4
63 0 0 4
23 0 0 6
39 0 0 4
18 0 0 0
42 1 1 1
22 0 0 3
29 0 0 3
32 0 0 0
21 0 0 1
8 0 0 2
22 0 0 1
22 0 0 1
21 0 0 2
27 1 0 4
21 0 0 0
28 0 0 0
22 0 0 2
27 0 0 3
21 0 0 4
16 0 0 1
16 0 0 2
31 0 0 2
26 0 0 4
34 0 0 2
23 0 0 4
15 0 0 2
32 0 0 4
24 0 0 2
28 0 0 0
28 0 0 4
26 0 0 2
19 0 0 3
35 0 0 2
14 0 0 2
26 0 0 1
44 0 0 1
21 0 0 4
19 0 0 2
33 0 0 5
39 0 0 2
29 0 0 1
33 0 0 1
30 0 0 3
20 0 0 0
17 0 0 0
26 0 0 2
31 0 0 1
18 0 0 4
24 0 0 2
19 0 0 2
24 0 0 1
34 0 0 2
45 0 0 2
27 0 0 7
27 0 0 0
15 0 0 0
26 0 0 4
18 0 0 0
18 0 0 1
20 0 0 0
23 0 0 3
23 0 0 3
22 0 0 1
35 0 0 9
23 0 0 2
33 0 0 3
38 0 0 2
24 0 0 4
13 0 0 2
21 0 0 4
22 0 0 1
45 0 0 1
27 0 0 2
43 0 0 2
24 0 0 2
24 0 0 1
20 0 0 3
8 0 0 1
30 0 0 1
15 0 0 0
35 0 0 4
25 0 0 0
28 0 0 3
27 0 0 4
42 0 0 6
25 0 0 1
23 0 0 0
23 0 0 1
30 0 0 3
25 0 0 0
16 0 0 1
28 0 0 1
14 0 0 1
24 0 0 1
22 0 0 1
42 0 0 7
27 0 0 1
22 0 0 1
16 0 0 2
28 0 0 3
26 0 0 1
20 0 0 2
22 0 0 0
34 0 0 2
34 1 1 8
14 0 0 3
41 0 0 5
24 0 0 1
25 0 0 2
31 0 0 1
17 0 0 5
28 1 1 0
31 0 0 4
20 0 0 0
18 0 0 0
29 0 0 2
27 0 0 6
16 0 0 0
18 0 0 6
12 0 0 1
10 0 0 0
15 0 0 3
29 0 0 0
38 0 0 0
26 0 0 0
34 0 0 1
21 0 0 1
31 0 0 3
19 0 0 0
14 0 0 2
28 0 0 3
34 0 1 5
27 0 0 1
34 0 0 4
39 0 0 7
25 0 0 0
21 0 0 2
14 0 0 0
28 0 0 5
27 0 0 3
12 0 0 0
17 0 0 1
37 0 0 2
28 0 0 4
23 0 0 6
19 0 0 2
22 0 0 1
21 0 0 2
32 0 0 2
25 0 0 5
24 0 0 1
29 0 0 5
30 0 0 2
28 1 1 3
25 0 0 2
19 0 0 4
28 0 0 2
28 0 0 3
36 0 0 2
25 0 0 2
13 0 0 1
24 0 0 0
23 0 0 2
41 0 0 2
34 0 0 2
18 0 0 0
26 0 0 2
24 0 0 1
22 0 0 0
20 0 0 1
35 0 0 4
30 0 0 2
18 0 0 0
16 0 0 3
22 0 0 1
26 0 0 2
23 0 0 3
20 0 0 4
12 0 0 1
20 0 0 1
16 0 0 0
14 0 0 2
32 0 0 3
21 0 0 2
42 0 0 6
14 0 0 2
26 0 0 1
16 0 0 3
29 0 0 1
24 0 0 3
27 0 0 3
29 0 0 2
31 0 0 8
35 0 0 1
13 0 0 0
29 0 0 3
23 0 0 0
25 0 0 3
23 0 0 2
21 0 0 5
21 0 0 1
32 0 0 5
37 0 0 5
14 0 0 1
37 0 1 6
13 0 0 1
17 0 0 0
16 0 0 2
32 0 0 2
30 0 0 4
29 0 0 4
27 0 0 2
31 0 0 3
19 0 0 2
40 0 0 1
10 0 0 1
36 0 0 4
27 0 0 4
30 0 0 0
25 0 0 1
19 0 0 5
40 0 0 5
15 0 0 3
37 0 0 4
34 0 0 3
21 0 0 3
25 0 0 0
23 0 0 1
19 0 0 3
16 0 0 3
17 0 0 1
14 0 0 1
13 0 0 0
16 0 0 4
10 0 0 1
37 0 0 3
44 0 0 3
23 0 0 2
28 0 0 4
31 0 0 0
26 0 0 7
22 0 0 2
17 0 0 1
31 0 0 1
18 0 0 2
7 0 0 0
29 0 0 2
25 0 0 1
42 0 0 3
31 0 0 1
38 0 0 2
27 0 0 1
19 0 0 2
37 0 0 5
24 0 0 2
16 0 0 2
19 0 0 0
13 0 0 0
31 0 0 1
22 0 0 2
27 0 0 4
29 0 0 1
39 0 0 3
24 0 0 0
16 0 0 0
15 0 0 2
20 0 0 4
36 0 0 3
28 0 0 4
18 0 0 1
27 0 0 1
21 0 0 4
26 0 0 0
40 0 0 5
32 0 0 4
37 0 0 5
24 0 0 1
21 0 0 0
16 0 0 2
24 0 0 4
24 0 0 0
16 0 0 3
32 0 0 3
24 0 0 3
36 0 0 4
34 0 0 6
33 0 0 5
23 0 0 1
43 0 0 4
26 0 0 3
38 0 0 3
40 0 0 2
26 0 0 4
17 0 0 1
20 0 0 4
16 0 0 3
28 0 0 2
21 0 0 2
29 0 0 4
43 0 0 3
15 0 0 1
27 0 0 1
19 0 0 4
14 0 0 0
36 0 0 3
26 0 0 2
20 0 0 0
25 0 0 3
22 0 0 3
24 0 0 0
26 0 0 2
24 0 0 3
29 0 0 6
21 0 0 0
23 1 0 1
13 0 0 1
20 0 0 0
39 0 0 5
17 0 0 0
30 0 0 6
26 1 0 4
26 0 0 2
27 0 0 0
21 0 0 3
26 0 0 2
31 0 0 5
55 0 0 3
23 0 0 2
20 0 0 1
25 1 0 5
28 0 0 1
31 0 0 3
19 0 0 0
23 0 0 2
23 0 0 3
18 0 0 1
22 0 0 5
16 0 0 3
16 0 0 0
37 0 0 6
39 0 2 3
36 0 0 5
21 0 0 3
16 0 0 3
22 0 0 0
43 0 0 3
16 0 0 0
26 0 0 2
37 0 0 1
31 0 0 7
33 0 0 5
21 0 0 1
25 0 0 2
18 0 0 2
38 0 0 3
22 0 0 0
25 0 0 3
26 0 0 2
27 0 0 0
30 0 0 1
26 0 0 2
31 0 0 2
27 0 0 0
29 0 0 5
17 0 0 0
31 0 0 1
27 0 0 2
31 0 0 1
35 0 0 7
18 0 0 3
22 0 0 3
30 0 0 2
22 0 0 0
28 0 0 2
14 0 0 3
11 0 0 1
19 0 0 0
21 0 0 0
32 0 0 1
14 0 0 0
28 0 0 6
44 0 0 1
27 0 0 1
24 0 0 5
18 0 0 1
35 0 0 3
27 0 0 5
27 0 0 2
14 0 0 4
37 0 0 1
10 0 0 0
17 0 0 4
13 0 0 1
31 0 0 1
32 0 0 1
21 0 0 2
18 0 0 0
35 0 0 4
25 0 0 1
18 0 0 0
23 0 0 0
27 0 0 1
29 0 0 2
39 0 0 4
26 0 0 4
17 0 0 2
9 0 0 1
25 0 0 4
26 0 0 3
31 0 0 6
20 0 0 0
18 0 0 2
20 0 0 0
26 0 0 1
46 0 0 8
24 0 0 7
20 0 0 1
22 0 0 1
33 0 0 5
20 0 0 3
31 0 0 3
23 0 0 2
32 0 0 2
26 0 0 1
29 0 0 1
11 0 0 0
23 0 0 2
13 0 0 1
28 0 0 3
19 0 0 1
26 0 0 6
8 0 0 0
28 0 0 0
20 0 0 2
19 0 0 0
50 0 0 5
10 0 0 0
17 0 0 2
30 0 0 0
19 0 0 1
19 0 0 0
18 0 0 0
26 0 0 0
29 0 0 5
21 0 0 3
21 0 0 1
17 0 0 2
18 0 0 0
42 0 0 3
19 0 0 0
20 0 0 2
4 0 0 0
19 0 0 3
18 0 0 4
31 0 0 2
34 0 0 3
14 0 0 0
31 0 0 2
19 0 0 2
38 0 0 4
26 0 0 3
26 0 0 2
18 0 0 3
43 0 0 4
29 0 0 1
27 0 0 5
16 0 0 1
25 0 0 2
21 0 0 2
30 0 0 3
29 0 0 1
26 0 0 5
25 0 0 2
26 0 0 3
35 0 0 8
23 0 0 1
13 0 0 2
35 0 0 2
17 0 0 0
14 0 0 2
35 0 0 0
29 0 0 3
34 0 0 2
22 0 0 2
28 0 0 0
20 0 0 1
16 0 0 0
15 0 0 0
30 0 0 1
28 0 0 3
21 0 0 2
22 0 0 2
31 0 0 2
28 0 0 5
39 0 0 1
30 0 0 3
22 0 0 4
26 0 0 3
19 0 0 0
16 0 0 3
24 0 0 2
15 0 0 2
20 0 0 0
30 0 0 4
42 0 0 3
20 0 0 1
17 0 0 0
22 0 0 1
37 0 0 1
11 0 0 3
31 0 0 3
30 0 0 1
28 0 0 3
22 0 0 2
30 0 0 1
26 0 0 1
22 0 0 0
19 0 0 1
23 0 0 2
36 0 0 5
32 0 0 2
43 0 0 9
16 0 0 1
31 0 0 1
35 0 0 1
39 0 0 5
30 0 0 4
30 0 0 3
33 0 0 6
29 0 0 0
40 2 0 3
44 0 0 3
30 0 0 2
30 0 0 2
34 0 0 4
30 0 0 5
44 2 0 3
31 0 0 1
19 0 0 1
34 0 0 11
14 0 0 1
13 0 0 1
50 0 0 0
21 0 0 2
26 0 0 2
23 0 0 1
32 0 0 5
13 0 0 0
22 0 0 2
3 0 0 1
32 0 0 0
20 0 0 1
23 0 0 2
28 0 0 1
28 0 0 2
22 0 0 0
22 0 0 2
12 0 0 1
13 0 0 0
38 0 0 4
22 0 0 3
15 0 0 0
18 0 0 3
27 0 0 2
26 0 0 4
28 0 0 2
18 0 0 1
24 0 0 0
32 0 0 2
34 0 0 0
29 0 0 1
26 0 0 3
30 0 0 5
16 0 0 3
27 0 0 2
24 0 0 0
19 0 0 3
23 0 0 3
23 0 0 3
19 0 0 1
21 0 0 3
60 0 0 4
36 0 0 0
19 0 0 1
24 0 0 1
34 0 0 3
42 0 0 6
32 0 0 3
25 0 0 0
34 0 0 0
28 0 0 3
17 0 0 0
30 0 0 1
33 0 0 0
22 0 0 0
12 0 0 1
32 0 0 3
22 0 0 0
15 0 0 0
20 0 0 0
34 0 0 4
27 0 0 2
22 0 0 2
27 0 0 2
47 0 0 2
22 0 0 0
29 0 0 0
36 0 0 2
27 0 0 0
33 0 0 2
19 0 0 1
21 0 0 1
16 0 0 6
30 0 0 2
38 1 0 6
26 0 0 4
27 0 0 0
12 0 0 0
18 0 0 3
23 0 0 3
31 0 0 8
37 0 0 2
8 0 0 1
33 0 0 3
19 0 0 1
41 0 0 4
16 0 0 3
13 0 0 0
28 0 0 2
15 0 0 0
20 0 0 2
31 0 0 1
36 0 0 2
17 0 0 1
23 0 0 0
37 0 0 3
24 0 0 5
24 0 0 0
21 0 0 4
26 0 0 1
31 0 0 5
19 0 0 2
17 0 0 1
9 0 0 1
19 0 0 2
20 0 0 0
27 0 0 0
16 0 0 2
44 0 0 7
54 0 0 5
24 0 0 3
26 0 0 1
35 0 0 5
15 0 0 2
33 0 0 7
27 0 0 6
23 0 0 3
21 0 0 2
15 0 0 3
27 0 0 1
30 0 0 2
31 0 0 0
27 0 0 2
26 1 0 2
33 0 0 2
22 0 0 1
35 0 0 3
15 0 0 1
23 0 0 3
27 0 0 4
21 0 0 1
23 0 0 2
34 0 0 4
20 0 0 2
21 0 0 0
15 0 0 3
36 0 0 0
17 0 0 0
29 0 0 1
19 0 0 3
34 0 0 0
39 0 0 5
